Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,614,1323,1,0,1,52,5,0,0,127.712,127.712,127.712,6.72893,6.72893,6.72893, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,396,1143,1,0,1,38,4,0,0,139.132,139.132,139.132,7.97051,7.97051,7.97051, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,658,1121,1,0,1,39,4,0,0,133.41,133.41,133.41,7.36786,7.36786,7.36786, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,819.75,1122.75,1,0,1,225,9,0,0,103.916,103.916,103.916,15.9463,15.9463,15.9463, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,880,1096,1,0,1,79,6,0,0,155.392,155.392,155.392,8.4297,8.4297,8.4297, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,394,1090.5,1,0,1,88,6,0,0,131.795,131.795,131.795,16.8388,16.8388,16.8388, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,644,1085.5,1,0,1,37,4,0,0,127.486,127.486,127.486,9.91589,9.91589,9.91589, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,375.5,1084,1,0,1,40,4,0,0,150.95,150.95,150.95,9.01233,9.01233,9.01233, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,657.5,924,1,0,1,44,4,0,0,92.2727,92.2727,92.2727,11.5859,11.5859,11.5859, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,647.65,901.55,1,0,1,49,5,0,0,109.878,109.878,109.878,10.4796,10.4796,10.4796, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,564.5,900.5,1,0,1,41,4,0,0,100.902,100.902,100.902,8.91357,8.91357,8.91357, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,406,900,1,0,1,26,4,0,0,73.5,73.5,73.5,9.10627,9.10627,9.10627, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,611.5,898,1,0,1,92,6,0,0,116.511,116.511,116.511,13.9812,13.9812,13.9812, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,921.5,886,1,0,1,78,5,0,0,141.141,141.141,141.141,10.7727,10.7727,10.7727, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,868.75,880.25,1,0,1,57,4,0,0,145.877,145.877,145.877,7.63608,7.63608,7.63608, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,891,870,1,0,1,55,5,0,0,150.2,150.2,150.2,8.95761,8.95761,8.95761, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,612,869,1,0,1,38,4,0,0,126,126,126,8.08594,8.08594,8.08594, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,631,865.5,1,0,1,83,6,0,0,124.867,124.867,124.867,13.7135,13.7135,13.7135, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,541,860.5,1,0,1,37,4,0,0,79.7297,79.7297,79.7297,9.27451,9.27451,9.27451, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,630,842,1,0,1,51,5,0,0,113.157,113.157,113.157,11.2505,11.2505,11.2505, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,321,838.5,1,0,1,32,4,0,0,112.563,112.563,112.563,10.0724,10.0724,10.0724, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,627,827.5,1,0,1,58,5,0,0,107.362,107.362,107.362,12.186,12.186,12.186, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,827,640,1,0,1,29,4,0,0,177.034,177.034,177.034,7.8455,7.8455,7.8455, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,644,631,1,0,1,47,5,0,0,124.596,124.596,124.596,13.4142,13.4142,13.4142, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,849.6,615.3,1,0,1,82,6,0,0,175.683,175.683,175.683,11.7191,11.7191,11.7191, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,397,610,1,0,1,37,4,0,0,89.9459,89.9459,89.9459,9.21977,9.21977,9.21977, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,848.5,588,1,0,1,33,4,0,0,178.939,178.939,178.939,6.67258,6.67258,6.67258, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,408,583,1,0,1,46,5,0,0,44.413,44.413,44.413,7.44905,7.44905,7.44905, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,852,439.5,1,0,1,33,4,0,0,145.242,145.242,145.242,13.2944,13.2944,13.2944, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,893.5,434.5,1,0,1,42,4,0,0,162.81,162.81,162.81,10.0165,10.0165,10.0165, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,908.5,432.5,1,0,1,80,5,0,0,149.613,149.613,149.613,14.6432,14.6432,14.6432, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,844.5,400,1,0,1,71,5,0,0,174.07,174.07,174.07,12.3029,12.3029,12.3029, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,633,372,1,0,1,183,8,0,0,17.5519,17.5519,17.5519,21.4885,21.4885,21.4885, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,811,356,1,0,1,54,5,0,0,134.056,134.056,134.056,9.24715,9.24715,9.24715, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,895,357.5,1,0,1,111,6,0,0,172.225,172.225,172.225,13.3702,13.3702,13.3702, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,637,342,1,0,1,117,7,0,0,30.3932,30.3932,30.3932,21.5056,21.5056,21.5056, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,883.5,333,1,0,1,29,4,0,0,156,156,156,5.69776,5.69776,5.69776, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,824.5,334.5,1,0,1,46,5,0,0,127.978,127.978,127.978,8.11547,8.11547,8.11547, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,576.5,334,1,0,1,60,5,120,2,82.0333,83.1,81.6667,13.7567,13.172,14.4321, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,363,331,1,0,1,408,12,0,0,90.2574,90.2574,90.2574,16.6335,16.6335,16.6335, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,595.5,317,1,0,1,41,4,0,0,90.5854,90.6829,90.6341,9.09087,9.21492,9.15028, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,905,178.5,1,0,1,37,4,0,0,188.324,188.324,188.324,5.89928,5.89928,5.89928, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,919.5,127,1,0,1,40,4,0,0,178.95,178.95,178.95,5.47186,5.47186,5.47186, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,394.5,124,1,0,1,35,4,0,0,198.886,198.886,198.886,6.3866,6.3866,6.3866, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,812,121,1,0,1,29,4,0,0,171.448,171.448,171.448,7.95595,7.95595,7.95595, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,854.5,96,1,0,1,46,4,0,0,188.739,188.739,188.739,5.6878,5.6878,5.6878, "2019-04-13 [18:42:13]: no comment"
